,,,DTA,,,DTS,,,ASI,,,DTM,,,PH,,,EH,,,NOR.C,,,NOK.R,,,HGW,,,Fe.mg.kg,,,Zn.mg.kg,,
Number,Crosses,Codes,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid,P1,P2,Hybrid
1,14×8,SSDB20 × SSN87  ,58.5,67.5,58,60.5,69.5,59,2,2,1,99.5,104,97,137.585,131.615,146.5,65.43,72.58,72.5,14,12,16,22.5,26,29,27.655,19.85,32,39.5,47.9,40.3,23.9,39.25,32.4
2,14×17,SSDB20 × SDC19,58.5,63.5,57,60.5,65.5,58,2,2,1,99.5,102,98,137.585,138.69,145.8,65.43,70.53,78.75,14,15,16,22.5,23.5,28,27.655,11,30,39.5,48.45,40.1,23.9,31.6,27
3,14×35,SSDB20 × S1941-2-2,58.5,57.5,55,60.5,59,56,2,1.5,1,99.5,109,102,137.585,137.785,148.9,65.43,62.31,77.5,14,17,18,22.5,23.5,26.5,27.655,27.65,31.2,39.5,47.25,39.5,23.9,39.6,29.3
4,14×57,SSDB20 × SS2014,58.5,61.5,58,60.5,63,59,2,1.5,1,99.5,108.5,101,137.585,134.74,150.5,65.43,66.745,70.75,14,17,18,22.5,20.5,24.1,27.655,19.3,33,39.5,51.25,41.6,23.9,37.85,28
5,43×8,S2012 × SSN87,63,67.5,60,64.5,69.5,61,1.5,2,1,105.5,104,99,144.225,131.615,153.75,69.59,72.58,76,16,12,16,23.5,26,26.1,28.8,19.85,28,32.3,47.9,44.2,19.5,39.25,29.6
6,43×17,S2012 × SDC19,63,63.5,59,64.5,65.5,60,1.5,2,1,105.5,102,101,144.225,138.69,147,69.59,70.53,79,16,15,18,23.5,23.5,27.8,28.8,11,29,32.3,48.45,37.2,19.5,31.6,28.9
7,43×35,S2012 × S1941-2-2,63,57.5,57,64.5,59,58,1.5,1.5,1,105.5,109,101,144.225,137.785,157.5,69.59,62.31,73,16,17,18,23.5,23.5,28.5,28.8,27.65,33,32.3,47.25,44.2,19.5,39.6,32
8,43×57,S2012 × SS2014,63,61.5,59,64.5,63,60,1.5,1.5,1,105.5,108.5,101,144.225,134.74,156.25,69.59,66.745,73,16,17,18,23.5,20.5,26.6,28.8,19.3,35,32.3,51.25,45.3,19.5,37.85,31.6
9,60×8,SS1841 × SSN87,59.5,67.5,59,61,69.5,60,1.5,2,1,111,104,101,133.69,131.615,155,67.835,72.58,76.25,15,12,16,23.5,26,28.9,26.1,19.85,32,48.45,47.9,44.6,28.35,39.25,31.1
10,60×17,SS1841 × SDC19,59.5,63.5,59,61,65.5,60,1.5,2,1,111,102,100,133.69,138.69,143.75,67.835,70.53,78.25,15,15,16,23.5,23.5,26.3,26.1,11,27,48.45,48.45,45.7,28.35,31.6,29.5
11,60×35,SS1841 × S1941-2-2,59.5,57.5,56,61,59,57,1.5,1.5,1,111,109,105,133.69,137.785,151,67.835,62.31,78.75,15,17,18,23.5,23.5,26.9,26.1,27.65,36,48.45,47.25,41.7,28.35,39.6,33.8
12,60×57,SS1841 × SS2014,59.5,61.5,57,61,63,58,1.5,1.5,1,111,108.5,102,133.69,134.74,152.5,67.835,66.745,73.75,15,17,18,23.5,20.5,27,26.1,19.3,30,48.45,51.25,45.8,28.35,37.85,34
13,91×8,SSM21233 × SSN87,64,67.5,62,65.5,69.5,63,1.5,2,1,113.5,104,100,111.835,131.615,128,54.675,72.58,69.25,15,12,16,19.5,26,25.9,25.8,19.85,31,40.85,47.9,41.1,35.8,39.25,35.8
14,91×17,SSM21233 × SDC19,64,63.5,59,65.5,65.5,60,1.5,2,1,113.5,102,99,111.835,138.69,130.25,54.675,70.53,65,15,15,16,19.5,23.5,23.8,25.8,11,28,40.85,48.45,43.1,35.8,31.6,34.4
15,91×35,SSM21233 × S1941-2-2,64,57.5,57,65.5,59,58,1.5,1.5,1,113.5,109,101,111.835,137.785,130.75,54.675,62.31,69.75,15,17,18,19.5,23.5,25.4,25.8,27.65,32.9,40.85,47.25,39.6,35.8,39.6,33.6
16,91×57,SSM21233 × SS2014,64,61.5,58,65.5,63,59,1.5,1.5,1,113.5,108.5,105,111.835,134.74,131.25,54.675,66.745,69.5,15,17,18,19.5,20.5,21.6,25.8,19.3,33.1,40.85,51.25,48.3,35.8,37.85,35.5
17,104×8,SSM1841 × SSN87,57,67.5,59,58,69.5,60,1,2,1,101,104,99,125.295,131.615,132.5,55.005,72.58,70.5,14,12,14,26.5,26,28.9,17.3,19.85,29.5,38.7,47.9,38.8,32.8,39.25,38
18,104×17,SSM1841 × SDC19,57,63.5,57,58,65.5,58,1,2,1,101,102,99,125.295,138.69,141.25,55.005,70.53,67.5,14,15,16,26.5,23.5,27.1,17.3,11,19,38.7,48.45,38,32.8,31.6,29
19,104×35,SSM1841 × S1941-2-2,57,57.5,55,58,59,56,1,1.5,1,101,109,100,125.295,137.785,146.25,55.005,62.31,66.75,14,17,16,26.5,23.5,27.3,17.3,27.65,32,38.7,47.25,49,32.8,39.6,40
20,104×57,SSM1841 × SS2014,57,61.5,56,58,63,57,1,1.5,1,101,108.5,99,125.295,134.74,146.25,55.005,66.745,64.25,14,17,16,26.5,20.5,25.8,17.3,19.3,24,38.7,51.25,39.2,32.8,37.85,31.8
21,105×8,SSP2014 × SSN87,63.5,67.5,61,66,69.5,62,2.5,2,1,108.5,104,101,122.25,131.615,141.25,55.105,72.58,65.5,15,12,14,25,26,27.8,24.6,19.85,26,34,47.9,40,27.6,39.25,37
22,105×17,SSP2014 × SDC19,63.5,63.5,60,66,65.5,61,2.5,2,1,108.5,102,99,122.25,138.69,136.25,55.105,70.53,69.75,15,15,16,25,23.5,27,24.6,11,26,34,48.45,38.3,27.6,31.6,29.68
23,105×35,SSP2014 × S1941-2-2,63.5,57.5,58,66,59,60,2.5,1.5,2,108.5,109,100,122.25,137.785,136,55.105,62.31,65.25,15,17,18,25,23.5,27,24.6,27.65,30,34,47.25,38.4,27.6,39.6,30.9
24,105×57,SSP2014 × SS2014,63.5,61.5,59,66,63,60,2.5,1.5,1,108.5,108.5,101,122.25,134.74,135.5,55.105,66.745,66.75,15,17,18,25,20.5,26,24.6,19.3,29,34,51.25,37.8,27.6,37.85,31.4
25,110×8,S2120 × SSN87,65,67.5,59,67.5,69.5,61,2.5,2,2,109.5,104,99,129.53,131.615,139.25,74.51,72.58,81.5,14,12,14,24.5,26,28,23.2,19.85,28,35.95,47.9,39,28.4,39.25,35
26,110×17,S2120 × SDC19,65,63.5,60,67.5,65.5,61,2.5,2,1,109.5,102,98,129.53,138.69,150,74.51,70.53,80.25,14,15,16,24.5,23.5,28,23.2,11,25,35.95,48.45,43.1,28.4,31.6,34
27,110×35,S2120 × S1941-2-2,65,57.5,58,67.5,59,59,2.5,1.5,1,109.5,109,99,129.53,137.785,138.75,74.51,62.31,75.5,14,17,18,24.5,23.5,27,23.2,27.65,28,35.95,47.25,41,28.4,39.6,32
28,110×57,S2120 × SS2014,65,61.5,58,67.5,63,59,2.5,1.5,1,109.5,108.5,100,129.53,134.74,138,74.51,66.745,73.25,14,17,16,24.5,20.5,25,23.2,19.3,29.9,35.95,51.25,47,28.4,37.85,30
29,120×8,SS2122-2-2 × SSN87,62.5,67.5,60,64,69.5,61,1.5,2,1,114.5,104,101,146.52,131.615,149,80.775,72.58,80,16,12,16,24.5,26,27,26.15,19.85,33,49.45,47.9,44,31.5,39.25,34
30,120×17,SS2122-2-2 × SDC19,62.5,63.5,59,64,65.5,60,1.5,2,1,114.5,102,101,146.52,138.69,146.25,80.775,70.53,81,16,15,16,24.5,23.5,26,26.15,11,25,49.45,48.45,45.1,31.5,31.6,30
31,120×35,SS2122-2-2 × S1941-2-2,62.5,57.5,57,64,59,58,1.5,1.5,1,114.5,109,102,146.52,137.785,149.5,80.775,62.31,78.25,16,17,18,24.5,23.5,27,26.15,27.65,33,49.45,47.25,46.4,31.5,39.6,34.6
32,120×57,SS2122-2-2 × SS2014,62.5,61.5,59,64,63,60,1.5,1.5,1,114.5,108.5,99,146.52,134.74,151.12,80.775,66.745,76.25,16,17,18,24.5,20.5,26,26.15,19.3,31,49.45,51.25,48.1,31.5,37.85,32.6
